Model,Dataset,Latent Dim,Learning Rate,Epoch,Validation Loss,Train Loss
MaskedAutoencoderModel,AutoVI,64,0.0001,40,"[0.09822294447157118, 0.06841481642590629, 0.04288589395582676, 0.03498737203578154, 0.03084487250695626, 0.028687104272345703, 0.027559462934732437, 0.02607359354280763, 0.02634429507371452, 0.02457855434881316, 0.02355227650453647, 0.02259438567691379, 0.02211806136700842, 0.021279333159327507, 0.02214345263524188, 0.019982555156780615, 0.019885507619215384, 0.019325258313781686, 0.0195544415877925, 0.01825996684945292, 0.01769335029853715, 0.017340361554589536, 0.017025468353595998, 0.017215617104536958, 0.016290909196767542, 0.016384158076511487, 0.015511293171180619, 0.015668826850338116, 0.01545945829194453, 0.014555393149041466, 0.0155534070606033, 0.014027141758965122, 0.01370125331191553, 0.01360864606168535, 0.013401286417825354, 0.013112358438471952, 0.012774534109565947, 0.013275480725699, 0.012375432221839825, 0.01216365603937043]","[0.1008879794842667, 0.08557101132141219, 0.055116304092937045, 0.0396938713060485, 0.033775518751806684, 0.03101461711857054, 0.0292088081025415, 0.027799277566373348, 0.026546864563392267, 0.025978538104229502, 0.024690848361286852, 0.023692155049906835, 0.022808439926140837, 0.022059992059237428, 0.02158090192824602, 0.0209166979831126, 0.020532043133344915, 0.01981581633703576, 0.01964213668058316, 0.019010433616737526, 0.018937778452204332, 0.018287109314567514, 0.017714947255121336, 0.017358923537863627, 0.01717621512297127, 0.01657835031963057, 0.016549125779420137, 0.015898049032936495, 0.015903821163293388, 0.015369652408278651, 0.015202681430512004, 0.014811970345262025, 0.014389479015436437, 0.01432170806866553, 0.0140941404323611, 0.013802101525167624, 0.01352662437905868, 0.013238893045733372, 0.013230280226303471, 0.012788402278804116]"
MaskedAutoencoderModel,AutoVI,128,0.0001,40,"[0.09618539901243316, 0.0739892501797941, 0.04855172915591134, 0.0342810596856806, 0.029199849607215986, 0.026609307051532798, 0.02476962510910299, 0.02316151342044274, 0.021991351826323405, 0.02102356507546372, 0.02022053197854095, 0.019891189204321966, 0.018922270172172122, 0.01847072359588411, 0.01873916553126441, 0.01719634100380871, 0.01668010155359904, 0.016219363289160862, 0.015716817281726334, 0.015491441202660402, 0.015218957172085842, 0.014677483743677536, 0.014134939449528853, 0.013777059813340506, 0.0136140501126647, 0.013383677281025384, 0.013083668425679207, 0.013162987410194345, 0.01279844312618176, 0.012267103832628991, 0.012056046889887916, 0.012117464974936511, 0.011711088992241356, 0.011537220380786393, 0.011382644375165304, 0.011212585804363092, 0.01154218189832237, 0.010969035275694396, 0.010759115839997927, 0.01066906905422608]","[0.10064871567818853, 0.08730093265573184, 0.05946815013885498, 0.04069259617891577, 0.03267946270191007, 0.029040771433048777, 0.02651424167884721, 0.024913037816683452, 0.02346731349825859, 0.022489819158282544, 0.021532752965059545, 0.02064372195551793, 0.019909536983403895, 0.01928311948561006, 0.018801719053751893, 0.018473653226262994, 0.01750677844716443, 0.016955232351190515, 0.0164711798230807, 0.01660794226659669, 0.015686886643783912, 0.015473686469097933, 0.014952745081649886, 0.01457438286807802, 0.014253770932555199, 0.013954537299772104, 0.013956840770939985, 0.013468288402590487, 0.013385085026837058, 0.013018620769596763, 0.012827010152654516, 0.012519089608556695, 0.012301613111048937, 0.012220187785310878, 0.011991713299519487, 0.011875825882371929, 0.011771694653564028, 0.011598924071424536, 0.01124667257277502, 0.011293226490832038]"
MaskedAutoencoderModel,AutoVI,256,0.0001,40,"[0.0978101280828317, 0.08125441024700801, 0.047174489953451686, 0.03348641780515512, 0.028668470370272797, 0.02633301406684849, 0.024128313590255048, 0.022303574718534946, 0.021638662968244817, 0.019633822970920138, 0.018658498716023233, 0.017863440637787182, 0.016976448086400826, 0.016343602186275855, 0.01812360891037517, 0.015056057160513269, 0.014433704420096345, 0.013902493079917299, 0.014207232536541091, 0.013195935843719376, 0.01266014218951265, 0.01236398166252507, 0.012012174249523215, 0.011754321762257151, 0.011517175990674231, 0.011123186546481319, 0.010816282282272974, 0.010583101513071192, 0.010508921876963642, 0.010236742233650552, 0.01002119429823425, 0.00984244860915674, 0.009792994863043228, 0.009631978554858102, 0.009375480365835957, 0.009200943426953422, 0.010236528960780965, 0.009026063192221854, 0.008992238694594966, 0.008805826047642363]","[0.10269930751787291, 0.09083715991841422, 0.0658182938479715, 0.04042277547220389, 0.031767945219245225, 0.028256840176052518, 0.025908886972400878, 0.02408763983597358, 0.022371097881760862, 0.021075549431973033, 0.020187881775200367, 0.018895752727985382, 0.01802251757019096, 0.017300217412412167, 0.01653541759070423, 0.016463635955005884, 0.015311477291915152, 0.014829840718044175, 0.01436116261821654, 0.014065889331201712, 0.013531555732091268, 0.013164748385962512, 0.01265790882623858, 0.012453789615796672, 0.012435236842268042, 0.01188514091902309, 0.01156786446356111, 0.011260888332294093, 0.011029753006166883, 0.01092756793109907, 0.010684343727512492, 0.010355504126184516, 0.010235982377909951, 0.010311563913193014, 0.009917324357148673, 0.009750718820012279, 0.009829226415604353, 0.009737211227830913, 0.009360633893973298, 0.00925165694206953]"
MaskedAutoencoderModel,AutoVI,512,0.0001,40,"[0.09045454983909924, 0.04917445427013768, 0.03531445562839508, 0.02959016731215848, 0.026336314467092354, 0.023885287965337437, 0.022422324038214154, 0.020895559547675982, 0.019663978161083326, 0.01857391217102607, 0.017677239556279447, 0.01728312722924683, 0.016813729061848588, 0.015657114796340466, 0.01486545532113976, 0.014369125271009075, 0.013766005480041107, 0.013328660641693406, 0.012924230191856623, 0.012456849838296572, 0.012095247654037343, 0.011888949924872981, 0.012792620600925552, 0.011207796684983704, 0.011182494254575836, 0.01076519215065572, 0.010579230677750375, 0.010372625715616677, 0.010118210015611516, 0.010040088401486477, 0.009714647765374847, 0.009564799722284079, 0.009659945033490658, 0.009394383937534358, 0.009035910324503979, 0.00892220934232076, 0.009089432656764984, 0.008593218452814553, 0.008650676036874453, 0.00837663778414329]","[0.09952814587288433, 0.07313975919451979, 0.0421358108934429, 0.03316069984187683, 0.028618655167520046, 0.02600247123175197, 0.023807175353997283, 0.0222025943092174, 0.02092301907638709, 0.01978274765941832, 0.01876699562287993, 0.01813300761083762, 0.01730333599779341, 0.016681381604737706, 0.01575943103267087, 0.015222558027340306, 0.014626782284014754, 0.014059716887358163, 0.013654489225397507, 0.013347136374149058, 0.012854634887642331, 0.012471501818961568, 0.012403847080551915, 0.012146588621868027, 0.01162322253609697, 0.011390489836533865, 0.011194012955658965, 0.010891434063927995, 0.010746769244886108, 0.010454008666177591, 0.010243273029724756, 0.010119937412026856, 0.00990154304438167, 0.009780969315518936, 0.009494831837299798, 0.00933952551955978, 0.009148472506139014, 0.009074635493258635, 0.009159688579125537, 0.008794227459778389]"
MaskedAutoencoderModel,AutoVI,64,0.001,40,"[0.054708804107374616, 0.02963985978729195, 0.023082542543609936, 0.01966852570573489, 0.015954784169379208, 0.014509659157031111, 0.0126529469465216, 0.011166997098674377, 0.010134463250223134, 0.009356619428015418, 0.0090288738720119, 0.008339508591840664, 0.008098523649904463, 0.007502323301095102, 0.00941109000187781, 0.007349009936054547, 0.006584523142211967, 0.006379690176496903, 0.009956449632429414, 0.0070384170911792256, 0.005945687622038854, 0.0056230690485487385, 0.005626219402377804, 0.005419392785471346, 0.0051622842438519, 0.005491962682248818, 0.004980927307365669, 0.005411710460773773, 0.004730511896519197, 0.004765506885531876, 0.00463246874925163, 0.004831380598867933, 0.004733114994855391, 0.004707226193406516, 0.004375027324486937, 0.004201238806773391, 0.004186911120389898, 0.004326987442457014, 0.004124388241002129, 0.003938043205481436]","[0.08648436868356334, 0.039892513718869954, 0.026742530676225822, 0.021928598483403523, 0.01857555305792226, 0.015278229334702095, 0.015725096325493522, 0.012501048855483532, 0.011096285552614264, 0.01033024194960793, 0.009574167689101564, 0.009091337625351217, 0.008505479872433675, 0.008001075566021932, 0.00762567984768086, 0.007894883113395836, 0.00698242132138047, 0.006623111070237226, 0.006320442538708448, 0.008178481883886788, 0.006348339426848624, 0.005809182120073173, 0.005575837593318688, 0.005580459229855074, 0.005281213670969009, 0.00529554499209755, 0.005045378321988715, 0.004903039429336786, 0.004881608144690593, 0.0047169010568824075, 0.004622688103053305, 0.004551124784888493, 0.004450920193145673, 0.004309399079324471, 0.0043430801791449385, 0.004128339752140973, 0.0043309368710551, 0.004075547537973357, 0.0040231782347998684, 0.00384990560511748]"
MaskedAutoencoderModel,AutoVI,128,0.001,40,"[0.05655804483426942, 0.0302176663859023, 0.023824368603527546, 0.019398503833346896, 0.016275553394936852, 0.014076183136138651, 0.012316053578009209, 0.011599396872851584, 0.010146778646028705, 0.009434157258106602, 0.008681470010843542, 0.00946057096330656, 0.008115369904165467, 0.007561450073909428, 0.007173069985583425, 0.006980200298130512, 0.006602484991567003, 0.006459532098637687, 0.006698321680434876, 0.006338248055221306, 0.005831502300376694, 0.005696510792606407, 0.005517377802688215, 0.006409138363475601, 0.005338149378076196, 0.005272321661727296, 0.005071735345861978, 0.005154744696079029, 0.0050180291550027, 0.004773061877737443, 0.004723237206538518, 0.004785829146082203, 0.004557141801342368, 0.004559550977622469, 0.004614512461961972, 0.0043381242107393015, 0.004320738358526594, 0.004271566415102118, 0.004072514698944158, 0.004043925074963934]","[0.09099367488589552, 0.040651603084471494, 0.027661985200312402, 0.021963884122669697, 0.018307841382920742, 0.0159008648350007, 0.013678829030444225, 0.012906765565276146, 0.011135488386369415, 0.010237425048318174, 0.0094613301464253, 0.009767249950932132, 0.008933207744525539, 0.008068541142468652, 0.007561070585830344, 0.00724601186811924, 0.006895107734534476, 0.0066983010102477335, 0.007090206982360946, 0.006505132419988513, 0.006043017919485767, 0.005794666060763929, 0.005597771145403385, 0.005967342191272312, 0.005604390572342608, 0.005279618884540266, 0.0050393229143487085, 0.004940153668738074, 0.004885133511076371, 0.004711193032562733, 0.004637407294164102, 0.004850926964233319, 0.004667077110045486, 0.0043250702373269535, 0.004231368605461385, 0.004227699000491864, 0.004007623336898784, 0.004105134983547032, 0.003914190805517137, 0.003914605166452627]"
MaskedAutoencoderModel,AutoVI,256,0.001,40,"[0.056022977042529315, 0.033414241961307, 0.025546250450942252, 0.021130547755294375, 0.01805672391007344, 0.015458409622725513, 0.013348237093951967, 0.011790363169792626, 0.01056952438213759, 0.010980085676742924, 0.009503940482520394, 0.008823416247549985, 0.008319078220261468, 0.007916867733001709, 0.007340986255763305, 0.007732017302057809, 0.006726467593883474, 0.006443897003514899, 0.006208863316310776, 0.006099904240626428, 0.005924650985333655, 0.0056969208849800956, 0.005452499207523134, 0.005317005613404844, 0.005118215508345101, 0.005779040020166172, 0.005008018213427729, 0.004906281699529952, 0.004823247669264674, 0.005204772317989005, 0.004670402707739009, 0.004474466356138389, 0.0045733121741149164, 0.004350735392007563, 0.004338800984745224, 0.004254402592778206, 0.0041753462282940745, 0.004178403760306537, 0.00414833633436097, 0.004116004578665727]","[0.08885266052352057, 0.048521826043725014, 0.029522660188376904, 0.024006878957152367, 0.020367625686857436, 0.01768783200532198, 0.015006542205810547, 0.013212925806227658, 0.011559398430916999, 0.01134423901223474, 0.010452312831249502, 0.009244499572863182, 0.008674549663232433, 0.008329239285861453, 0.007740597499327527, 0.007416543499049213, 0.007146127315031158, 0.006681193390654193, 0.006441433448344469, 0.0061865368237098055, 0.0060030538847463, 0.005702057180719243, 0.005563132645976212, 0.005435441361947192, 0.005172439514555865, 0.005149856571935945, 0.0050165671079109115, 0.004804577704312073, 0.004674957470140523, 0.00456778454180393, 0.004478916655191117, 0.004295694900469648, 0.0043054040417903, 0.004288293718774285, 0.004049677725156976, 0.0039029109369342527, 0.00405749356529365, 0.0038248905006589163, 0.0037740925973695186, 0.0037695004527146616]"
MaskedAutoencoderModel,AutoVI,512,0.001,40,"[0.03790238623817762, 0.024813567702141073, 0.0196837376182278, 0.01556380693283346, 0.013401007072793113, 0.010575336973286338, 0.009438664962848028, 0.008918909821659327, 0.0078956530843344, 0.00724424796903299, 0.007029026746749878, 0.006780700577009056, 0.006196290694384111, 0.00610433430928323, 0.005674143735733297, 0.005388754135411646, 0.005943696713075042, 0.004925051652308967, 0.005398412700742483, 0.004676468463407623, 0.004538251785561442, 0.004450975813799434, 0.004572215283082591, 0.004162140436367028, 0.004141639542972876, 0.004159482053688003, 0.0041180185896034045, 0.0038971121215985883, 0.003925227663583226, 0.0039382773684337735, 0.003582305481864346, 0.003605331578809354, 0.0035502935578632685, 0.0034588610546456445, 0.00394142125474496, 0.0033396444179945523, 0.0032571651584779224, 0.0033780246222805646, 0.003223962525630163, 0.0033353468170389533]","[0.07215951114065117, 0.03018666658964422, 0.022353632582558527, 0.018223877892725997, 0.014933764261917936, 0.012215820451577505, 0.010539745239333974, 0.009734476347350411, 0.00864982097927067, 0.00785567451061474, 0.0074349920420597, 0.0070813420073439675, 0.006705273434312807, 0.006052467583989103, 0.005939079345100456, 0.005543288231516878, 0.005477333751817544, 0.005122431062368883, 0.004865383755208718, 0.005036713141534064, 0.004570800836922394, 0.004360295935637421, 0.0042836841764963334, 0.004210267190097107, 0.004125140180500845, 0.003961818279801971, 0.003831047034408483, 0.0037764846605973113, 0.0036329079108933606, 0.0035548418656819398, 0.003436304913419816, 0.0034845477590958276, 0.0033701764962946377, 0.00315928152607133, 0.0032356867126913536, 0.0032286550590975415, 0.0029663767070612973, 0.0028983722699599136, 0.003050505235377285, 0.0029304855917063025]"
MaskedAutoencoderModel,AutoVI,64,0.05,40,"[0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895, 0.32841232750150895]","[0.3173166745238834, 0.3298531307114495, 0.3299428191449907, 0.3299800174103843, 0.32993316650390625, 0.32996444072988296, 0.32978881729973686, 0.3299572782384025, 0.3298732075426314, 0.3299869828754001, 0.3299773782491684, 0.3299686163663864, 0.3299543344312244, 0.3298275156153573, 0.3297618048058616, 0.3298403140571382, 0.3297599371936586, 0.32983919812573326, 0.329954637421502, 0.32991810474130845, 0.3299778716431724, 0.32976384460926056, 0.32987894283400643, 0.32999642193317413, 0.32995642721652985, 0.3299027764134937, 0.3298604124122196, 0.329932517475552, 0.3299485279454125, 0.3299026307132509, 0.3299632536040412, 0.3299865474303563, 0.3298741810851627, 0.32989483409457737, 0.3299176229370965, 0.32987574570708805, 0.3298642949925529, 0.32976998057630325, 0.32996945910983616, 0.32993683218955994]"
MaskedAutoencoderModel,AutoVI,128,0.05,40,"[0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385, 0.33747319049305385]","[0.3249963236351808, 0.33795510398017037, 0.33793530861536664, 0.33791059421168435, 0.33794312013520134, 0.3379778481192059, 0.3379099683629142, 0.3379817654689153, 0.3379244307676951, 0.3379175199402703, 0.3379479795694351, 0.3379317306809955, 0.33795953459209865, 0.3379724671443303, 0.33794810705714756, 0.3379548241694768, 0.3379466583331426, 0.3379613425996568, 0.3379212005270852, 0.3379766775502099, 0.33794622123241425, 0.33797600203090244, 0.3379247470034493, 0.33796682622697616, 0.337925104631318, 0.33793846269448596, 0.33792075349224937, 0.3379399942027198, 0.337933255566491, 0.33794397446844315, 0.3379486021068361, 0.3379564086596171, 0.33794624275631374, 0.3379523787233565, 0.3379061006837421, 0.3379078656435013, 0.3379370868206024, 0.3379370305273268, 0.3379196623961131, 0.33792950378523934]"
